morphospecies	ordered_vines	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
0_Vitis_riparia	x014_495622	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991
0_Vitis_riparia	x015_495622	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991
0_Vitis_riparia	x016_495622	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991
0_Vitis_riparia	x017_495622	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991
0_Vitis_riparia	x018_495622	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991
0_Vitis_riparia	x019_495622	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991
0_Vitis_riparia	x020_495622	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991
0_Vitis_riparia	x021_495622	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991
0_Vitis_riparia	x022_495622	1.00E-05	1.00E-05	0.015289	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.984631
0_Vitis_riparia	x023_495622	1.00E-05	0.049491	0.200311	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.750128
0_Vitis_riparia	x024_495622	1.00E-05	1.00E-05	1.00E-05	0.012646	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.987274
0_Vitis_riparia	x025_495622	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991
0_Vitis_riparia	x026_495622	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991
0_Vitis_riparia	x027_495622	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991
